Data Ora;154 [°C];154 [m/s];590 [°C];590 [m/s];150 [°C];150 [m/s];789 [°C];789 [m/s];261 [°C];261 [m/s];348 [°C];348 [m/s];
13.12.2022 12:05:58;---;---;---;---;21,6;0,00;---;---;---;---;---;---;
13.12.2022 12:05:59;21,7;0,00;21,3;0,02;21,6;0,00;21,6;0,02;21,3;0,04;21,2;0,03;
13.12.2022 12:06:00;21,7;0,00;21,3;0,00;21,6;0,00;21,6;0,01;21,3;0,01;21,2;0,00;
13.12.2022 12:06:01;21,7;0,12;21,3;0,14;21,6;0,21;21,6;0,09;21,4;0,07;21,2;0,07;
13.12.2022 12:06:02;21,7;0,43;21,3;0,54;21,6;0,46;21,6;0,42;21,4;0,38;21,2;0,40;
13.12.2022 12:06:03;21,7;0,65;21,4;0,85;21,6;0,57;21,7;0,68;21,4;0,70;21,2;0,71;
13.12.2022 12:06:04;21,7;0,67;21,4;0,88;21,6;0,59;21,7;0,73;21,4;0,79;21,3;0,79;
13.12.2022 12:06:05;21,7;0,71;21,4;0,93;21,6;0,61;21,7;0,81;21,5;0,85;21,3;0,83;
13.12.2022 12:06:06;21,7;0,70;21,4;0,91;21,6;0,60;21,7;0,81;21,5;0,85;21,3;0,82;
13.12.2022 12:06:07;21,7;0,64;21,4;0,87;21,6;---;21,7;0,75;21,5;0,83;21,3;0,82;
13.12.2022 12:06:08;21,7;0,36;21,4;0,46;---;0,52;21,7;0,42;21,5;0,53;21,3;0,58;
13.12.2022 12:06:09;21,7;0,22;21,4;---;21,6;0,17;21,7;0,13;21,5;0,21;21,3;0,26;
13.12.2022 12:06:10;21,7;0,44;21,4;0,54;21,6;0,23;21,7;0,42;21,5;0,48;21,3;0,52;
13.12.2022 12:06:11;21,7;0,61;21,4;0,80;21,6;0,42;21,7;---;21,5;0,71;21,3;0,74;
13.12.2022 12:06:12;21,8;0,65;21,4;0,87;21,6;0,60;21,7;0,75;21,5;0,80;21,3;0,81;
13.12.2022 12:06:13;21,8;0,64;21,5;0,89;---;---;21,7;---;21,5;0,86;21,3;0,89;
13.12.2022 12:06:14;21,8;0,65;21,5;0,90;21,6;0,56;21,7;0,74;21,5;0,83;21,4;0,86;
13.12.2022 12:06:15;21,8;0,63;21,5;0,84;21,7;0,54;21,7;0,65;21,6;0,74;21,4;0,77;
13.12.2022 12:06:16;21,8;0,54;21,5;0,71;21,7;0,44;21,7;0,59;21,6;0,72;21,4;0,73;
13.12.2022 12:06:17;21,8;0,55;21,5;0,75;---;---;21,7;0,60;21,6;0,65;21,4;0,65;
13.12.2022 12:06:18;21,8;0,17;21,5;0,25;21,7;0,41;21,7;0,23;21,6;0,32;21,4;0,35;
13.12.2022 12:06:19;21,8;0,14;21,5;0,16;---;0,07;21,7;0,14;21,5;0,13;21,4;0,16;
13.12.2022 12:06:20;21,8;0,45;21,5;0,54;21,6;0,22;21,7;0,43;21,5;0,44;21,4;0,44;
13.12.2022 12:06:21;21,8;0,60;21,5;0,77;21,7;0,55;21,7;0,63;21,6;0,64;21,4;0,68;
13.12.2022 12:06:22;21,8;0,68;21,5;---;21,7;---;21,8;---;21,6;0,77;21,4;0,81;
13.12.2022 12:06:23;21,9;0,67;21,5;0,87;21,7;0,58;21,8;0,77;21,6;0,80;21,5;0,82;
13.12.2022 12:06:24;21,9;0,66;21,6;0,84;---;---;21,8;0,74;21,6;0,78;21,5;0,81;
13.12.2022 12:06:25;21,8;0,56;21,5;---;21,7;0,44;21,8;0,63;21,6;0,67;21,5;0,72;
13.12.2022 12:06:26;21,8;0,31;21,5;0,39;21,7;0,11;21,8;0,35;21,6;0,44;21,4;0,50;
13.12.2022 12:06:27;21,8;0,09;21,5;0,12;21,7;---;21,8;0,10;21,6;0,12;21,4;0,15;
13.12.2022 12:06:28;21,8;0,14;21,5;0,05;21,7;0,01;21,8;0,04;21,6;0,07;21,4;0,09;
13.12.2022 12:06:29;21,8;0,03;21,5;0,03;---;0,00;21,8;0,02;21,6;0,03;21,4;0,03;
13.12.2022 12:06:30;21,8;0,00;21,5;0,02;21,7;0,00;21,8;0,01;21,6;0,03;21,4;0,01;
13.12.2022 12:06:31;21,8;0,00;21,5;0,00;21,7;0,00;21,8;0,00;21,6;0,00;21,4;0,00;

Nome strumento;testo 405i;testo 405i;testo 405i;testo 405i;testo 405i;testo 405i;
Numero di serie;48943154;48944590;48940150;48939789;48944261;48945348;
